,Customer ID,Cust Since,City,Zip
0,103,2008-07-21,Overland Park,66210
1,10975,2008-07-21,Overland Park,66210
2,1509WALN,2018-12-12,KANSAS CITY,64106
3,1617,2008-07-15,,
4,1906WYAN,2019-01-28,Kansas City,64108
5,1STB,2011-10-27,OVERLAND PARK,66212
6,220 W 18TH,2022-01-14,KANSAS CITY,64111
7,41 PENN,2008-12-16,KANSAS CITY,64111
8,4STATE,2004-02-10,LENEXA,66215
9,6951,2009-05-07,OVERLAND PARK,66212
10,8100,2008-07-21,LEAWOOD,66208
11,8300,2008-07-21,Overland Park,66210
12,8417,2008-07-21,LEAWOOD,66208
13,8585-HOME,2010-09-27,CHESTERFIELD,63017
14,9641,2008-04-30,KANSAS CITY,64112
15,A&FR,2007-03-05,KANSAS CITY,64108
16,ABDN,2006-06-23,PRAIRIE VILLAGE,66207
17,ABEL,2006-03-10,PRAIRIE VILLAGE,66208
18,ABER,2009-10-05,LENEXA,66220
19,ABRD,1998-01-10,OVERLAND PARK,66213
20,ABRM,2015-08-20,LEAWOOD,66209
21,ABSO,2014-07-23,ST ROBERT,65584
22,ACAD,2019-06-27,KANSAS CITY,64113
23,ACIE,2007-02-16,RAYMORE,64083
24,ACIN,2017-09-22,OVERLAND PARK,66206
25,ACOS,2014-10-02,OLATHE,66062
26,ACS,2002-12-23,LENEXA,66214
27,ACTT,2007-05-07,SHAWNEE,66216
28,ACUFF,2005-06-06,LEAWOOD,66206
29,ADAM,2005-05-26,SHAWNEE,66218
30,ADAMB,2009-07-30,OVERLAND PARK,66223
31,ADAR,2003-01-18,LEE'S SUMMIT,64064
32,ADDIF,2003-10-02,OVERLAND PARK,66212
33,ADDN,2000-08-31,BELTON,64012
34,ADKI,2009-12-22,OLATHE,66062
35,ADMM,2008-12-16,OVERLAND PARK,66210
36,ADRI,2016-11-09,LENEXA,66219
37,AERN,2006-09-08,SHAWNEE,66218
38,AFFT,2016-11-09,ST. LOUIS,63147
39,AGUI,2012-03-30,SHAWNEE,66216
40,AHC,2004-09-23,KANSAS CITY,66106
41,AHER,2004-10-21,OVERLAND PARK,66209
42,AHM,2007-06-13,OLATHE,66062
43,AIR,2016-11-09,KANSAS CITY,66105
44,AKSN,2009-10-06,OVERLAND PARK,66209
45,ALBB,2005-05-12,OVERLAND PARK,66221
46,ALBEG,2004-09-02,LEAWOOD,66206
47,ALBER,2007-04-10,LENEXA,66210
48,ALBES,2005-04-27,SHAWNEE,66203
49,ALBRM,2003-07-09,OVERLAND PARK,66213
50,ALDE,2011-03-28,SHAWNEE,66218
51,ALDRF,2004-08-12,OVERLAND PARK,66215
52,ALEJ,2005-05-10,LEAWOOD,66224
53,ALEX,2011-05-19,SHAWNEE,66217
54,ALLED,2004-08-27,OLATHE,66062
55,ALLEG,2005-09-14,LEAWOOD,66224
56,ALLER,2008-10-08,OVERLAND PARK,66212
57,ALLG,2003-05-27,BONNER SPRINGS,66012
58,ALLIE,2011-09-16,LENEXA,66215
59,ALLIEDC,2007-08-14,ROELAND PARK,66205
60,ALPBAL,2020-03-10,Kansas City,64112
61,ALPE,2016-11-16,KANSAS CITY,64112
62,ALPH,2016-11-09,PRAIRIE VILLAGE,66208
63,ALTIB,2004-01-06,POMONA,66076
64,ALTL,2018-03-27,PRAIRIE VILLAGE,66208
65,ALTM,2018-08-16,OLATHE,66061
66,ALUM,2008-03-04,BLUE SPRINGS,64015
67,AMARJ,2002-05-08,OVERLAND PARK,66212
68,AMBH,1998-01-10,PRAIRIE VILLAGE,66204
69,AMBUS,2020-07-15,OLATHE,66061
70,AMER,2006-01-13,EDMOND,73083
71,AMERF,2011-04-25,,
72,AMLE,2016-12-22,OVERLAND PARK,66204
73,AMOR,2005-02-21,SHAWNEE,66226
74,ANAN,2009-08-04,OLATHE,66061
75,ANDA,1998-01-05,BELTON,64012
76,ANDAR,2010-07-26,OVERLAND PARK,66207
77,ANDB,2010-06-18,SHAWNEE,66226
78,ANDC,1998-01-10,OLATHE,66061
79,ANDE,2010-05-14,SHAWNEE,66218
80,ANDEA,2003-06-29,BONNER SPRINGS,66012
81,ANDEC,2013-07-15,OLATHE,66062
82,ANDED,2003-03-31,PRAIRIE VILLAGE,66207
83,ANDEL,2007-03-27,BONNER SPRINGS,66012
84,ANDER,2005-08-04,LEAWOOD,66206
85,ANDERS,2007-12-03,KANSAS CITY,64112
86,ANDES,2003-11-13,OLATHE,66062
87,ANDM,2002-02-06,MISSION HILLS,66208
88,ANDN,2015-06-23,LEAWOOD,66206
89,ANDR,2011-09-29,LENEXA,66219
90,ANDRC,2003-04-07,OVERLAND PARK,66213
91,ANDRCL,2006-05-09,LENEXA,66219
92,ANDREWS,2010-08-23,LENEXA,66215
93,ANDRG,2006-08-03,KANSAS CITY,64108
94,ANDRL,2011-11-04,LEAWOOD,66206
95,ANDT,2005-01-24,SHAWNEE,66226
96,ANGEL,2006-12-12,OVERLAND PARK,66212
97,ANST,2011-09-07,LEAWOOD,66209
98,ANTO,2015-04-10,OLATHE,66062
99,APOLLO,2003-08-11,MISSION,66201
100,APPT,1998-01-05,OLATHE,66062
101,ARAA,2005-04-06,MISSION HILLS,66208
102,ARAN,2005-12-08,LEAWOOD,66209
103,ARCHKS,2003-09-08,KANSAS CITY,66109
104,ARCHM,2003-09-08,LENEXA,66219
105,ARDI,2008-08-21,SHAWNEE,66216
106,ARMG,2006-07-06,SHAWNEE,66216
107,ARMSD,2003-04-16,OVERLAND PARK,66214
108,ARNK,2005-09-23,PRAIRIE VILLAGE,66208
109,ARNO,2003-07-08,KANSAS CITY,64145
110,ARNOF,2011-06-09,KANSAS CITY,64145
